i;ÎÇ ÃÑÌ-À.Ââåðõ;ÎÇ ÃÑÌ-À.Âíèç;ÎÇ ÃÑÌ-À.Îòñå÷êà;ÎÇ ÃÑÌ-Á.Âíèç;ÎÇ ÃÑÌ-Á.Âíèç;ÎÇ ÃÑÌ-Á.Îòñå÷êà
61;0.2577703074231442;0.03211872031992003;0.145;0.1118942764308923;-0.04134891277180705;0.035
62;0.2610009997500625;0.030308672831792064;0.146;0.11288877780554862;-0.04203224193951513;0.035
63;0.2627493126718321;0.02745038740314922;0.145;0.11425668582854288;-0.04282979255186204;0.036
64;0.26569457635591104;0.02608272931767059;0.146;0.11836740814796301;-0.04316220944763809;0.038
65;0.2663631592101975;0.025802799300174963;0.146;0.1223139215196201;-0.04261309672581855;0.040
66;0.2651857035741064;0.022444388902774313;0.144;0.12588802799300175;-0.04056235941014747;0.043
67;0.26686628342914276;0.02132241939515122;0.144;0.1297133216695826;-0.03710797300674832;0.046
68;0.26763734066483386;0.020893526618345416;0.144;0.13229917520619844;-0.03357135716070983;0.049
69;0.270817295676081;0.022980004998750317;0.147;0.13626343414146463;-0.029739315171207203;0.053
70;0.27522969257685576;0.029718570357410653;0.152;0.14113996500874781;-0.025913271682079488;0.058
71;0.2799002749312671;0.039081229692576866;0.159;0.14582354411397153;-0.021926268432891777;0.062
72;0.28614046488377903;0.049404148962759326;0.168;0.1501789552611847;-0.0180532366908273;0.066
73;0.29339665083729066;0.05879805048737816;0.176;0.15269157710572356;-0.014789302674331416;0.069
74;0.2994063984003999;0.06617220694826294;0.183;0.15166833291677081;-0.01194451387153212;0.070
75;0.302864783804049;0.07232991752061983;0.188;0.15165508622844287;-0.00860009997500625;0.072
76;0.3060159960009997;0.0762311922019495;0.191;0.1525111222194451;-0.004951762059485129;0.074
77;0.3067453136715821;0.07675331167208198;0.192;0.15279205198700324;-0.002532866783304174;0.075
78;0.30927518120469877;0.07742864283929017;0.193;0.15639890027493128;-3.9740064983754125e-05;0.078
79;0.31122144463884027;0.07533666583354161;0.193;0.15720669832541861;0.0011722069482629342;0.079
80;0.31211522119470136;0.07211897025743565;0.192;0.15930342414396403;0.00285853536615846;0.081
81;0.3117065733566608;0.06969582604348912;0.191;0.16164608847788053;0.0052186953261684575;0.083
82;0.31064683829042744;0.06659860034991252;0.189;0.16161934516370907;0.0072689327668083;0.084
83;0.3120349912521869;0.06443039240189954;0.188;0.16075031242189453;0.00837890527368158;0.085
84;0.31264308922769307;0.06298650337415647;0.188;0.15741864533866531;0.0070607348162959275;0.082
85;0.31638640339915025;0.05984203949012748;0.188;0.1533796550862284;0.005618595351162209;0.079
