timestamp,Driver Square Filtred Current, Wiring Square Filtred Current, Switches Square Filtred Current
14612,None,None,0.0138044
14613,0.0134081,0.0133783,None
14644,None,0.0133514,0.0138104
14645,0.0134081,None,None
14674,None,None,0.0138909
14675,0.0134319,0.0133574,None
14705,None,None,0.0140011
14706,0.0134319,0.013271,None
14799,0.0134319,0.0131965,0.013122
14847,0.0134319,0.0132263,0.0130475
14879,0.0134319,0.0132293,0.0132978
14911,0.0134319,0.0132322,0.0132024
15006,None,None,0.0130653
15007,0.0134319,0.0132322,None
15102,0.0134319,0.0133514,0.0128925
15182,0.0133902,0.013268,0.0134498
15213,0.0133902,0.0133038,0.0129372
15277,0.0133902,0.0131547,0.0124037
15308,None,0.0131935,0.012517
15309,0.0133902,None,None
15402,0.0133902,0.0131875,0.0124276
15449,None,None,0.0134289
15450,0.0133902,0.0131696,None
15481,0.0133902,0.0131398,0.0132948
15498,0.0133902,0.0131428,0.0131607
15577,0.0133902,0.0131279,0.0138372
15609,0.0133902,0.0131488,0.0136465
15640,0.0133902,0.0131279,0.0134885
15671,None,None,0.0139624
15672,0.0134051,0.0131398,None
15720,0.0134051,0.0131667,0.014025
15814,0.0134051,0.0132591,0.0136495
15861,None,0.0131637,0.0134408
15862,0.0134051,None,None
15893,0.0134051,0.0131875,0.0132084
15924,0.0134051,0.0131935,0.0133097
16020,0.0134051,0.0131696,0.0129014
16068,0.0134051,0.0132024,0.0132501
16100,0.0134051,0.0132829,0.0132859
16131,None,None,0.0134736
16132,0.0134051,0.0133216,None
16226,None,0.0135213,0.0145286
16227,0.0133812,None,None
16274,0.0133812,0.0135243,0.0141144
16305,None,None,0.0140429
16306,0.0133812,0.0135839,None
16447,0.0133812,0.0135154,0.0130951
16479,0.0133812,0.0136077,0.0133336
16511,0.0133812,0.0135988,0.0132978
16551,0.0133812,0.0135243,0.0131577
16622,None,0.013411,0.0128299
16623,0.0133812,None,None
16718,0.0133812,0.0133157,0.0126898
16798,0.0133812,0.0132889,0.0127614
16830,0.0133812,0.0133246,0.0131607
16860,None,0.0133902,0.0138193
16861,0.0133812,None,None
16891,None,None,0.0135124
16892,0.0133812,0.0133872,None
16907,0.0133812,0.0133872,0.0136584
16963,0.0133812,0.0134468,0.0140041
17032,0.0133812,0.0135392,0.0138193
17079,0.0133812,0.0134408,0.0136107
17111,0.0133812,0.0134081,0.0134259
17143,0.0133812,0.0133872,0.0133067
17444,0.0133723,0.0132382,0.0127792
17475,None,None,0.0129759
17476,0.0133723,0.0132173,None
17507,0.0133723,0.0133306,0.0134856
17540,0.0133723,0.0133872,0.0135601
17619,0.0133723,0.0134557,0.0141233
17715,0.0133663,0.0135332,0.013563
17763,0.0133663,0.0136077,0.0139207
17858,None,0.0135869,0.0140846
17859,0.0133663,None,None
18142,0.0133663,0.0135124,0.0130057
18380,0.0133514,0.0134736,0.0128627
